name,address,city,state,zipcode,lat,lon
1634 Funk,"394 Communipaw Ave, Jersey City, NJ 07304",Jersey City,NJ,07304,40.712915,-74.064123
4Twenty Somewhere,"1938 Union Valley Rd, Hewitt, NJ 07421",Hewitt,NJ,07421,41.153179,-74.354334
A-Z Supply,"1283 Broad St, Bloomfield, NJ 07003",Bloomfield,NJ,07003,40.834279,-74.180603
A21 Wellness,"2507 US-22, Scotch Plains, NJ 07076",Scotch Plains,NJ,07076,40.664622,-74.388585
AC Leef,"470 N Albany Ave, Atlantic City, NJ 08401",Atlantic City,NJ,08401,39.356956,-74.459919
Altitude Cannabis,"225 Atlantic City Blvd, Toms River, NJ 08757",Toms River,NJ,08757,39.946353,-74.196132
Altius NJ,"60 Delsea Dr N, Glassboro, NJ 08028",Glassboro,NJ,08028,39.705091,-75.107363
Andover Cannabis,"144-146 Main St, Andover, NJ 07821",Andover,NJ,07821,40.987733,-74.742124
Anja,"225 Woodbridge Ave, Highland Park, NJ 08904",Highland Park,NJ,08904,40.501438,-74.411144
Aurum Botanics,"6 Fort Dix Rd, Pemberton, NJ 08068",Pemberton,NJ,08068,39.977479,-74.679783
Baked by the River,"8 Church St, Lambertville, NJ 08530",Lambertville,NJ,08530,40.366982,-74.944753
Bakinâ€™ Bad,"2834 Atlantic Ave, Atlantic City, NJ 08401",Atlantic City,NJ,08401,39.354262,-74.446484
Bay Street Greenery,"150 Bay St, Jersey City, NJ 07302",Jersey City,NJ,07302,40.721022,-74.039921
Benedict's Supply,"3523 John F. Kennedy Blvd, Jersey City, NJ 07307",Jersey City,NJ,07307,40.752282,-74.053287
BestBuds,"135 S Broad St, Woodbury, NJ 08096",Woodbury,NJ,08096,39.836279,-75.155221
"Beyond Bleaf, LLC","753 Macopin Rd, West Milford, NJ 07480",West Milford,NJ,07480,41.045587,-74.385893
BLKBRN Cannabis Dispensary,"176 Woodbridge Ave, Highland Park, NJ 08904",Highland Park,NJ,08904,40.501096,-74.414503
Blue Oak,"1025 Broad St suite 2, Bloomfield, NJ 07003",Bloomfield,NJ,07003,40.826949,-74.1875
Blue Violets,"628 Washington St, Hoboken, NJ 07030",Hoboken,NJ,07030,40.744357,-74.029099
BluLight Cannabis,"890 Mantua Pike, Woodbury Heights, NJ 08097",Woodbury Heights,NJ,08097,39.818391,-75.162371
Boone Town Provisions,"677 Myrtle Ave, Boonton, NJ 07005",Boonton,NJ,07005,40.910378,-74.39251
Botera Harrison,"701 Frank E Rodgers Blvd N, Harrison, NJ 07029",Harrison,NJ,07029,40.751777,-74.157106
Botera Union,"2290 US-22, Union, NJ 07083",Union,NJ,07083,40.690204,-74.29044
Bridge City Collective Dispensary,"665 Hamilton St, Somerset, NJ 08873",Somerset,NJ,08873,40.492148,-74.471663
Brotherly Bud Dispensary,"500 N Black Horse Pike, Mt Ephraim, NJ 08059",Mt Ephraim,NJ,08059,39.886124,-75.08778
Bud 2 Bloom,"123 Ledgewood Ave #1a, Netcong, NJ 07857",Netcong,NJ,07857,40.896751,-74.698369
Bud City NJ,"117 Water St, Newton, NJ 07860",Newton,NJ,07860,41.063585,-74.747789
Budzooka Weed Dispensary,"142 Broad St, Elizabeth, NJ 07201",Elizabeth,NJ,07201,40.665803,-74.214663
Camden Apothecary,"1205 Haddon Ave, Camden, NJ 08103",Camden,NJ,08103,39.93188,-75.102736
Canabhang,"24 Marshall Hill Rd, West Milford, NJ 07480",West Milford,NJ,07480,41.131404,-74.36541
Canna Bar,"58 Main St, Matawan, NJ 07747",Matawan,NJ,07747,40.419101,-74.22747
Canna Remedies,"2175 Spruce St, Trenton, NJ 08638",Trenton,NJ,08638,40.249569,-74.75644
Cannabis Clubhouse,"70-72 E Main St, Sussex, NJ 07461",Sussex,NJ,07461,41.211438,-74.602697
CannaBoy Treehouse,"57 W South Orange Ave, South Orange Village, NJ 07079",South Orange Village,NJ,07079,40.747035,-74.261114
Cannavibes,"1 US-46, Elmwood Park, NJ 07407",Elmwood Park,NJ,07407,40.893808,-74.124554
Canopy Crossroad,"9 West St, Red Bank, NJ 07701",Red Bank,NJ,07701,40.35008,-74.073174
Carry-On Cannabis,"2379 S Black Horse Pike, Williamstown, NJ 08094",Williamstown,NJ,08094,39.650741,-74.951782
Casa Verde Wellness,"315 US-46, Dover, NJ 07801",Dover,NJ,07801,40.887572,-74.541048
Castaway Cannabis,"6006 US-130, Delran, NJ 08075",Delran,NJ,08075,40.018406,-74.948223
Central Jersey Dispensary,"2 John F Kennedy Blvd, Somerset, NJ 08873",Somerset,NJ,08873,40.513392,-74.489669
Citi Roots,"4585 NJ-27, Kingston, NJ 08528",Kingston,NJ,08528,40.375642,-74.614026
City Leaves,"2516 Fire Rd, Egg Harbor Township, NJ 08234",Egg Harbor Township,NJ,08234,39.419324,-74.527483
CityLeaf Dispensary,"519 Broadway, Newark, NJ 07104",Newark,NJ,07104,40.768281,-74.163445
Cloud Nine Dispensary,"513-27 US-22, North Plainfield, NJ 07060",North Plainfield,NJ,07060,40.607401,-74.468243
Conservatory Cannabis Company,"2516 Fire Rd, Egg Harbor Township, NJ 08234",Egg Harbor Township,NJ,08234,39.419324,-74.527483
Cookies Harrison,"335 Angelo Cifelli Dr, Harrison, NJ 07029",Harrison,NJ,07029,40.741006,-74.15724
Cottonmouth Dispensary,"10 E Clements Bridge Rd, Runnemede, NJ 08078",Runnemede,NJ,08078,39.84907,-75.071848
CREAM Cannabis Dispensary,"284 1st St, Jersey City, NJ 07302",Jersey City,NJ,07302,40.722139,-74.046487
Cuzzie's,"2750 Mt Ephraim Ave, Camden, NJ 08104",Camden,NJ,08104,39.910066,-75.097564
Dank Poet Dispensary,"245 E Washington Ave, Washington, NJ 07882",Washington,NJ,07882,40.759716,-74.974289
Daylite Cannabis,"1136 NJ-73, Mt Laurel Township, NJ 08054",Mt Laurel Township,NJ,08054,39.925317,-74.952446
Dispensary of Somerset,"920 Hamilton St, Somerset, NJ 08873",Somerset,NJ,08873,40.486342,-74.483256
Dispensary of Union,"1603 US-22, Union, NJ 07083",Union,NJ,07083,40.692098,-74.272305
Dogwood Green,"5 Central Ave, West Orange, NJ 07052",West Orange,NJ,07052,40.770313,-74.244082
Doobiez,"1612 Union Valley Rd, West Milford, NJ 07480",West Milford,NJ,07480,41.138094,-74.366744
Earth & Ivy,"355 George St, New Brunswick, NJ 08901",New Brunswick,NJ,08901,40.494785,-74.443542
Earth & Ivy Lakehurst,"29 Union Ave, Lakehurst, NJ 08733",Lakehurst,NJ,08733,40.012477,-74.311941
Elevated by TheCannaBossLady,"9 Highland Pl, Maplewood, NJ 07040",Maplewood,NJ,07040,40.731244,-74.278555
Elevated Herb,"1846 NJ-23, West Milford, NJ 07480",West Milford,NJ,07480,41.014914,-74.382349
Emerald Tea Supply,"368b Broad St, Bloomfield, NJ 07003",Bloomfield,NJ,07003,40.806054,-74.193209
Enlighten Dispensary,"781 Rte 70 W, Marlton, NJ 08053",Marlton,NJ,08053,39.896471,-74.940643
Everest Dispensary,"1226 Atlantic Ave, Atlantic City, NJ 08401",Atlantic City,NJ,08401,39.362519,-74.426165
Evergreen Nature's Remedy,"1242 NJ-23, Butler, NJ 07405",Butler,NJ,07405,40.991036,-74.341
Evolve Cannabis,"186 US-130, Bordentown, NJ 08505",Bordentown,NJ,08505,40.149408,-74.699325
Feels of Green,"474 US-206, Newton, NJ 07860",Newton,NJ,07860,41.019737,-74.769489
Fire and Oak,"5 Washington St, Mt Holly, NJ 08060",Mt Holly,NJ,08060,39.993073,-74.788514
Flower & Flame Dispensary,"601 College Dr, Blackwood, NJ 08012",Blackwood,NJ,08012,39.791429,-75.035681
Flowerbomb Dispensary,"1108 Clinton Ave, Irvington, NJ 07111",Irvington,NJ,07111,40.726134,-74.228575
Fresh Dispensary Eatontown,"315 NJ-35, Eatontown, NJ 07724",Eatontown,NJ,07724,40.281322,-74.046893
Fresh Elizabeth,"460 Maple Ave, Elizabeth, NJ 07202",Elizabeth,NJ,07202,40.652971,-74.213982
G2 Dispensary,"350 US-46, Rockaway, NJ 07866",Rockaway,NJ,07866,40.886871,-74.529237
Garden Greenz,"190 Newark Ave, Jersey City, NJ 07302",Jersey City,NJ,07302,40.72166,-74.045822
Garden State Natural Green,"4597 NJ-27, Kingston, NJ 08528",Kingston,NJ,08528,40.375191,-74.615174
Ginger Hale,"814 White Horse Pike, Oaklyn, NJ 08107",Oaklyn,NJ,08107,39.900545,-75.076073
Golden Door Dispensary,"638 Newark Ave, Jersey City, NJ 07306",Jersey City,NJ,07306,40.733853,-74.05821
Got Your Six Dispensary of New Jersey,"4437 NJ-27, Princeton, NJ 08540",Princeton,NJ,08540,40.383623,-74.600904
Green Haven Industries,"402 Elizabeth Ave, Elizabeth, NJ 07206",Elizabeth,NJ,07206,40.652203,-74.196617
Green Knight Cannabis,"831 Hamilton St, Somerset, NJ 08873",Somerset,NJ,08873,40.489217,-74.47919
Green Lightning Cannabis,"1503 Taylors Ln, Cinnaminson, NJ 08077",Cinnaminson,NJ,08077,40.014103,-74.9774
Green Oasis Dispensary,"632 White Horse Pike, Atco, NJ 08004",Atco,NJ,08004,39.755618,-74.882085
Green Wellness Haven,"1110 N New Rd, Pleasantville, NJ 08232",Pleasantville,NJ,08232,39.411891,-74.51565
Greenstop Dispensary,"516 Tonnelle Ave, Jersey City, NJ 07307",Jersey City,NJ,07307,40.74869,-74.060514
Gynsyng,"14 S Center St, Merchantville, NJ 08109",Merchantville,NJ,08109,39.952142,-75.049156
Hackettstown Dispensary,"321 Mountain Ave, Hackettstown, NJ 07840",Hackettstown,NJ,07840,40.835187,-74.823181
Hamm & Chaz Cannabis Dispensary,"747 West Side Ave, Jersey City, NJ 07306",Jersey City,NJ,07306,40.726049,-74.077437
Happy Leaf,"200 N White Horse Pike, Somerdale, NJ 08083",Somerdale,NJ,08083,39.841244,-75.014096
Hashery,"409 NJ-17, Hackensack, NJ 07601",Hackensack,NJ,07601,40.878658,-74.066593
Hashstoria NJ,"799 Broad St, Newark, NJ 07102",Newark,NJ,07102,40.735269,-74.172598
Hello High,"7685 Black Horse Pike, Hammonton, NJ 08037",Hammonton,NJ,08037,39.565697,-74.817973
Herb's Premium Dispensary,"757 Franklin Blvd, Somerset, NJ 08873",Somerset,NJ,08873,40.483978,-74.480562
Herbalicity,"246 Raritan Ave, Highland Park, NJ 08904",Highland Park,NJ,08904,40.498857,-74.428073
High Profile Lakehurst,"145 NJ-70, Lakehurst, NJ 08733",Lakehurst,NJ,08733,40.015346,-74.315198
High Profile of Somerdale Dispensary,"4 N White Horse Pike, Somerdale, NJ 08083",Somerdale,NJ,08083,39.831994,-75.005065
High Rollers Dispensary,"120 S Indiana Ave, Atlantic City, NJ 08401",Atlantic City,NJ,08401,39.35764,-74.431871
High Street Dispensary,"811 High St, Hackettstown, NJ 07840",Hackettstown,NJ,07840,40.864304,-74.827326
Highway 90,"90 Old Marlton Pike, Evesham, NJ 08053",Evesham,NJ,08053,39.90153,-74.92957
Holistic Re-Leaf,"321 Mt Hope Ave, Rockaway, NJ 07866",Rockaway,NJ,07866,40.9096,-74.549261
Honey Buzz Farms,"1724 Atlantic Ave, Atlantic City, NJ 08401",Atlantic City,NJ,08401,39.360019,-74.432431
HudHaus,"9001 River Rd, North Bergen, NJ 07047",North Bergen,NJ,07047,40.805067,-73.993288
Hudsonica Inc.,"1427 Grand St, Hoboken, NJ 07030",Hoboken,NJ,07030,40.755171,-74.031143
HZY Goods,"19 Prospect St, East Orange, NJ 07017",East Orange,NJ,07017,40.767496,-74.217391
Indigo,"302 Crescent Blvd, Brooklawn, NJ 08030",Brooklawn,NJ,08030,39.875536,-75.121182
INSA Coastline Dispensary,"1580 US-9, Cape May Court House, NJ 08210",Cape May Court House,NJ,08210,39.128874,-74.780475
Island Vibez,"18 Roosevelt Ave, Plainfield, NJ 07060",Plainfield,NJ,07060,40.622459,-74.421361
J & J Cannabis Dispensary,"3055 NJ-23 Unit A, Oak Ridge, NJ 07438",Oak Ridge,NJ,07438,41.05648,-74.466493
JC Element,"365 Central Ave, Jersey City, NJ 07307",Jersey City,NJ,07307,40.74765,-74.048409
Jersey Dispensary,"638 Communipaw Ave, Jersey City, NJ 07304",Jersey City,NJ,07304,40.7183,-74.074356
Jersey Leaf,"554 West Side Ave, Jersey City, NJ 07304",Jersey City,NJ,07304,40.719777,-74.082017
Jersey Meds,"7 NJ-31, Pennington, NJ 08534",Pennington,NJ,08534,40.325821,-74.79933
Jersey Roots,"1433 Union Valley Rd, West Milford, NJ 07480",West Milford,NJ,07480,41.127854,-74.373206
Jester's Joint,"70 Easton Ave, New Brunswick, NJ 08901",New Brunswick,NJ,08901,40.497998,-74.449836
Joy Leaf,"711 E 1st Ave, Roselle Park, NJ 07204",Roselle Park,NJ,07204,40.662973,-74.246375
Kind Kush,"279 US-46, Rockaway, NJ 07866",Rockaway,NJ,07866,40.891118,-74.515001
Kine Buds Maywood,"113 E Passaic St, Maywood, NJ 07607",Maywood,NJ,07607,40.862252,-74.112637
La Vida Gardens,"523 Washington Ave, Belleville, NJ 07109",Belleville,NJ,07109,40.798628,-74.148201
Lady L Cannabis,"547 West Side Ave, Jersey City, NJ 07304",Jersey City,NJ,07304,40.719532,-74.082734
Leaf Haus,"900 Easton Ave, Somerset, NJ 08873",Somerset,NJ,08873,40.510412,-74.485441
Leaf Joint,"391 Central Ave, Jersey City, NJ 07307",Jersey City,NJ,07307,40.748233,-74.048117
