name,city,zip,website
Med Leaf,,8215,https://menus.dispenseapp.com/9e34aad030c6f68f/menu
Midnight Greens,,8012,https://menu.midnightgreensnj.com/deals
MindLift Dispensary,,7060,https://mindliftdispensary.com/menu/menu/specials
Scarlet Reserve Room,,,
The Botanist Egg Harbor,,,
The Botanist Collingswood,,,
MindLift Dispensary,,,
The Botanist Williamstown,,,
The Botanist Williamstown Medical,,,
The Botanist Egg Harbor Township Adult Use,,,
Elevated by TheCannaBossLady,,,
Sweetspot Recreational Dispensary Maplewood,,,
Dogwood Green Rec,,,
RISE Dispensaries Bloomfield Adult Use,,,
RISE Dispensaries Bloomfield Medical,,,
Daylite Cannabis,,,https://www.daylitecannabis.com/menu/offers
Dispensary of Somerset,,,https://thedispensariesofnj.com/somerset/?dtche%5Bpath%5D=specials
Dogwood Green,,,https://www.dogwoodgreen.com/shop/menu/specials/
